ranking,name,chico,corpus,ns_code,f1_promedio_total,f1_FEM,f1_MAL,f1_KCHI,f1_OCH
1,alma-a1-nsb,alma,raw_ROS,nsb,0.5678432941772654,0.6247378831367767,0.464170659736322,0.6426679564246067,0.5397966774113563
2,verag-a2-nsm,verag,raw_ROS_HV,nsm,0.5447460552457102,0.819250732671869,0.562983366882085,0.7967501214288868,0.0
3,franciscop-a2-nsm,franciscop,raw_ROS_HV,nsm,0.5138932179859791,0.7442711101384938,0.4834934215836629,0.8278083402217599,0.0
4,amparol-a1-nsb,amparol,raw_ROS,nsb,0.5021905949783733,0.5642818251116193,0.4262166405023548,0.5655172413793104,0.4527466729202087
5,dantep-a1-nsm,dantep,raw_ROS_HV,nsm,0.49210209754515905,0.7306237402324876,0.6660578790947882,0.5717267708533604,0.0
6,dianag-a1-nsb,dianag,raw_ROS_HV,nsb,0.47513129474805293,0.673354881405676,0.2723144494900618,0.5507553018747232,0.4041005462217505
7,lisandroh-a2-nsm,lisandroh,raw_ROS,nsm,0.4696791218153809,0.6142770623121665,0.4097397656368893,0.4950470529965329,0.3596526063159349
8,lucior-a2-nsm,lucior,raw_ROS,nsm,0.46653324931882384,0.6796505246520613,0.3766336633663366,0.5976055450535602,0.2122432642033372
9,angelinap-a1-nsm,angelinap,raw_ROS,nsm,0.4641169683820727,0.5734997361149917,0.4450488145048814,0.6274615229518112,0.2104577999566066
10,julietap-a1-nsm,julietap,raw_ROS_HV,nsm,0.46061480422242806,0.6858251485388626,0.3261974721328296,0.83043659621802,0.0
11,gaell-a2-nsb,gaell,raw_ROS,nsb,0.4591033317005372,0.5269640230372236,0.2724478777307085,0.6259976972464532,0.4110037287877635
12,manuelc-a2-nsm,manuelc,raw_ROS,nsm,0.45905425583567505,0.6309815736005044,0.0,0.6087949743003997,0.5964404754417961
13,lucasyoelp-a2-nsb,lucasyoelp,raw_ROS_HV,nsb,0.4443683873934964,0.4824788050060557,0.3943649413757746,0.6733803289694529,0.2272494742227022
14,dantec-a1-nsm,dantec,raw_ROS,nsm,0.43893966461268086,0.5897526843581724,0.485834277714819,0.680171696377732,0.0
15,valentina-a1-nsb,valentina,segunda-vuelta/highVol,nsb,0.41956558549878603,0.4044795161366536,0.5369626742928267,0.3863819013278144,0.3504382502378494
16,ummaq-a2-nsb,ummaq,raw_ROS,nsb,0.39313292912195175,0.5072988281512775,0.2986247544204322,0.7666081339160974,0.0
17,biancak-a2-nsb,biancak,raw_ROS_HV,nsb,0.3837674836257576,0.460028982007004,0.3380252428193009,0.233276740237691,0.5037389694390344
18,bautistad-a1-nsb,bautistad,segunda-vuelta/random,nsb,0.3663243560075521,0.5833302458844306,0.0,0.4935336207279676,0.3884335574178101
19,francescam-a2-nsm,francescam,raw_ROS_HV,nsm,0.3644711498383767,0.7352513153475876,0.0,0.7226332840059193,0.0
20,valentinos-a1-nsb,valentinos,raw_ROS,nsb,0.35801088647883295,0.4161221542059289,0.0302232621624256,0.5888064486580562,0.3968916808889212
21,camilop-a2-nsb,camilop,raw_ROS_HV,nsb,0.32073696371669125,0.1722941195549933,0.3255213279143085,0.532697807435653,0.2524345999618102
22,brandona-a1-nsb,brandona,segunda-vuelta/highVol,nsb,0.20879199473150234,0.1803951376151842,0.1312302839116719,0.4209264652177577,0.1026160921813955
23,camilob-a1-nsm,camilob,segunda-vuelta/random,nsm,0.11658549852083788,0.2911376235853153,0.0247848537005163,0.1504195167975199,0.0
